# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "gene,sRNA" "-g" "locus_tag" "-a" "startpeaks_cds.gff" "-o" "../rna_align/startpeaks_ctable.txt" "../rna_align/01_no_PNA.bam" "../rna_align/02_PNA15_5000pM.bam" "../rna_align/03_PNA15_500pM.bam" "../rna_align/04_PNA15_100pM.bam" "../rna_align/05_PNA15_10pM.bam" "../rna_align/06_PNA14_5000pM.bam" "../rna_align/07_no_PNA.bam" "../rna_align/08_PNA15_5000pM.bam" "../rna_align/09_PNA15_500pM.bam" "../rna_align/10_PNA15_100pM.bam" "../rna_align/11_PNA15_10pM.bam" "../rna_align/12_PNA14_5000pM.bam" "../rna_align/13_no_PNA.bam" "../rna_align/14_PNA15_5000pM.bam" "../rna_align/15_PNA15_500pM.bam" "../rna_align/16_PNA15_100pM.bam" "../rna_align/17_PNA15_10pM.bam" "../rna_align/18_PNA14_5000pM.bam" "../rna_align/73_RNA_input_control.bam" "../rna_align/79_no_PNA.bam" "../rna_align/85_no_PNA.bam" 
Geneid	Chr	Start	End	Strand	Length	../rna_align/01_no_PNA.bam	../rna_align/02_PNA15_5000pM.bam	../rna_align/03_PNA15_500pM.bam	../rna_align/04_PNA15_100pM.bam	../rna_align/05_PNA15_10pM.bam	../rna_align/06_PNA14_5000pM.bam	../rna_align/07_no_PNA.bam	../rna_align/08_PNA15_5000pM.bam	../rna_align/09_PNA15_500pM.bam	../rna_align/10_PNA15_100pM.bam	../rna_align/11_PNA15_10pM.bam	../rna_align/12_PNA14_5000pM.bam	../rna_align/13_no_PNA.bam	../rna_align/14_PNA15_5000pM.bam	../rna_align/15_PNA15_500pM.bam	../rna_align/16_PNA15_100pM.bam	../rna_align/17_PNA15_10pM.bam	../rna_align/18_PNA14_5000pM.bam	../rna_align/73_RNA_input_control.bam	../rna_align/79_no_PNA.bam	../rna_align/85_no_PNA.bam
b2083	b2083_yegZ_2167814_-1	37	80	-	44	10	10	9	9	8	8	11	9	16	4	2	10	7	13	13	7	13	14	2202	5	5
b2085	b2085_yegR_2168306_-1	37	80	-	44	935	1112	1156	902	1032	929	1041	822	1229	816	705	982	894	975	933	1159	944	923	1028	956	740
b2086	b2086_yegS_2168712_1	37	80	+	44	621	739	743	625	709	670	689	501	671	465	443	684	694	734	724	743	724	698	1077	588	457
b4498	b4498_gatR_2171727_-1;b4498_gatR_2170167_-1	37;37	80;80	-;-	88	10246	15302	12954	14520	13075	14611	12960	7787	15182	9161	9291	12877	13226	13622	15376	13263	14080	13219	2765	9837	8995
b2088	b2088_insE1_2170236_1	37	80	+	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b2089	b2089_insF1_2170532_1	37	80	+	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b2091	b2091_gatD_2172873_-1	37	80	-	44	1889	3295	2545	3003	3030	2747	2605	1735	2510	2108	1836	2759	2069	2429	2482	2562	2291	2367	129	1811	1924
b2092	b2092_gatC_2174278_-1;b2092_gatC_2173362_-1	37;37	80;80	-;-	88	209	437	265	472	330	392	431	187	340	174	234	289	249	318	378	301	403	249	4413	367	327
b2093	b2093_gatB_2174566_-1	37	80	-	44	956	1396	1026	1402	1303	1482	1226	721	1118	854	755	1126	850	833	1105	989	1031	824	360	882	935
b2094	b2094_gatA_2175049_-1	37	80	-	44	288	432	410	378	483	338	440	291	383	213	323	432	333	380	392	457	381	386	424	340	302
b2095	b2095_gatZ_2176321_-1	37	80	-	44	2393	3658	2411	3632	2800	3035	4087	1639	3796	2058	2106	2238	1775	2110	2875	1938	2803	1862	801	2216	1721
b2096	b2096_gatY_2177204_-1	37	80	-	44	407	818	523	810	577	684	777	311	649	393	420	574	425	528	689	490	672	461	211	565	550
b2097	b2097_fbaB_2178564_-1	37	80	-	44	959	1377	958	1372	1188	1301	1369	606	1158	605	739	1117	1073	1296	1564	1192	1331	1180	1718	1095	1085
b2098	b2098_yegT_2178821_1	37	80	+	44	909	1837	1152	1937	1263	1966	1627	687	1769	1230	1145	1498	1218	1358	1989	1105	1611	1218	925	1261	1073
b2099	b2099_yegU_2180095_1	37	80	+	44	5018	7362	7271	6319	6739	6411	5244	4048	6409	4214	4242	5908	6138	5050	6569	6811	5758	6283	1076	3985	3802
b2100	b2100_yegV_2181096_1	37	80	+	44	162	121	140	113	95	62	125	77	76	81	83	130	136	151	154	193	165	144	102	97	83
b2101	b2101_yegW_2182781_-1	37	80	-	44	140	166	191	133	158	130	172	140	162	140	85	181	186	178	215	204	194	207	356	137	108
b2102	b2102_yegX_2183651_-1	37	80	-	44	1137	1534	1262	1620	1380	1711	1414	777	1761	1077	982	1516	1173	1459	1798	1259	1488	1206	669	1293	1160
b2103	b2103_thiD_2184516_-1	37	80	-	44	1539	1450	1545	1114	1128	856	1319	916	1073	737	939	1307	1404	1621	1542	1926	1471	1406	704	1005	830
b2104	b2104_thiM_2185301_-1	37	80	-	44	154	177	183	173	180	169	207	122	128	97	159	228	163	228	257	222	218	207	418	151	124
b2105	b2105_rcnR_2185796_-1	37	80	-	44	81	115	93	124	124	147	125	61	118	67	92	108	121	115	133	105	118	92	121	112	108
b2106	b2106_rcnA_2185917_1	37	80	+	44	137	284	132	203	144	200	249	92	237	73	115	193	144	242	325	230	304	163	1790	218	144
b2107	b2107_rcnB_2186960_1	37	80	+	44	823	1123	867	878	801	843	974	656	1033	709	719	844	885	1083	1170	1280	1118	1080	6778	591	553
b2108	b2108_yehA_2188414_-1	37	80	-	44	564	805	651	701	724	672	661	446	705	429	495	731	635	799	836	833	791	685	1430	539	444
b2109	b2109_yehB_2190910_-1	37	80	-	44	520	782	595	709	661	772	661	355	606	330	454	734	712	846	865	799	864	717	2932	623	556
b2110	b2110_yehC_2191645_-1	37	80	-	44	11	5	5	5	5	8	4	3	4	10	5	8	3	7	11	9	5	8	734	7	0
b2111	b2111_yehD_2192222_-1	37	80	-	44	31	70	32	58	51	44	41	30	38	39	32	41	25	61	76	30	55	27	526	57	30
b2112	b2112_yehE_2192796_-1	37	80	-	44	6220	8849	8567	7644	8026	8716	7998	6583	9335	5997	6176	8332	9232	8925	9264	8900	8291	8634	1908	5472	4985
b2113	b2113_mrp_2194168_-1	37	80	-	44	7325	8632	10412	8074	9979	8628	8031	6297	8073	7053	6112	9580	9682	8604	8912	10423	8699	9464	835	6078	5716
b2114	b2114_metG_2194300_1	37	80	+	44	75	101	72	108	91	66	132	54	97	46	53	72	87	127	113	106	121	91	492	87	76
b4499	b4499_yehH_2196474_1;b4499_yehH_2199322_1	37;37	80;80	+;+	88	639	1008	805	953	856	988	858	505	920	679	633	1015	785	933	982	875	907	770	2331	721	696
b2118	b2118_yehI_2200279_1	37	80	+	44	5310	7298	6525	6599	6747	6872	6167	3953	6618	4509	4670	6383	6595	6618	8143	7138	7492	6942	4637	5173	4547
b4541	b4541_yehK_2203972_1	37	80	+	44	1954	2950	2778	2665	2578	2790	2416	1639	2407	1511	1767	2510	2348	2277	2616	2505	2539	2364	3468	2295	2095
b2119	b2119_yehL_2204596_1	37	80	+	44	251	297	153	306	188	234	286	91	235	112	179	197	184	201	303	202	317	178	600	219	162
b2120	b2120_yehM_2205695_1	37	80	+	44	10	9	2	3	5	9	3	4	5	2	7	10	4	6	5	4	10	3	475	1	5
b2121	b2121_yehP_2207967_1	37	80	+	44	163	230	180	226	172	183	194	101	151	72	140	170	198	256	307	288	319	208	456	149	145
b2122	b2122_yehQ_2209100_1	37	80	+	44	7	16	15	15	15	8	18	7	10	5	10	7	9	16	18	8	12	10	220	7	9
b2123	b2123_yehR_2211225_1	37	80	+	44	1707	3564	1559	3332	2152	3173	2798	911	2424	1162	1400	1898	1555	2134	3353	1605	2945	1765	608	2041	2182
b2124	b2124_yehS_2212196_-1	37	80	-	44	19	27	19	27	30	28	31	16	22	21	18	22	19	30	24	21	24	22	88	20	23
b2125	b2125_yehT_2212962_-1	37	80	-	44	4722	6001	6904	5158	6130	5588	4856	4151	5887	5254	4087	6625	6632	6644	6331	7461	6025	6126	1154	3795	3532
b2126	b2126_yehU_2214644_-1	37	80	-	44	115	117	103	106	113	94	103	77	96	68	70	85	105	115	105	130	114	106	3254	93	98
b2127	b2127_mlrA_2214866_1	37	80	+	44	55	44	30	46	39	35	35	22	18	32	35	51	41	41	36	40	50	37	1610	56	29
b4542	b4542_yohO_2215657_1	37	80	+	44	536	856	659	851	716	805	869	435	742	350	503	790	820	1093	1209	877	1135	937	1430	744	596
b2128	b2128_yehW_2216476_-1	37	80	-	44	153	211	222	157	194	118	183	138	155	82	123	172	246	295	249	288	216	236	402	145	131
b2129	b2129_yehX_2217407_-1	37	80	-	44	221	355	254	397	268	331	388	166	338	206	201	275	315	389	464	267	394	319	894	338	272
b2130	b2130_yehY_2218557_-1	37	80	-	44	230	250	243	174	228	215	273	193	259	90	168	216	283	349	346	276	312	271	7671	178	165
b2131	b2131_osmF_2219481_-1	37	80	-	44	1530	2249	1431	2130	1545	1819	2154	798	1792	1162	1265	1594	1411	1435	1979	1448	1886	1395	1341	1248	1242
b2132	b2132_bglX_2221989_-1	37	80	-	44	235	427	272	293	287	290	359	144	271	155	192	281	263	345	361	267	373	361	480	231	217
b2133	b2133_dld_2222185_1	37	80	+	44	399	886	491	1051	675	862	990	336	707	397	468	642	504	786	1155	656	1102	708	2116	911	740
b2134	b2134_pbpG_2224870_-1	37	80	-	44	62	139	78	94	81	92	109	51	99	59	55	96	76	94	128	113	126	93	585	88	74
b2135	b2135_yohC_2225631_-1	37	80	-	44	3377	4073	4777	3363	3909	3346	3144	2561	2982	2521	2359	3709	4621	4101	4279	4484	3984	4037	5298	2751	2588
b2136	b2136_yohD_2225801_1	37	80	+	44	1856	2084	2457	1772	2149	2161	1967	2019	1611	1080	1371	2211	2815	2375	2110	2851	2230	3000	1305	1363	1441
b2137	b2137_yohF_2227270_-1	37	80	-	44	889	1317	1204	1208	1213	1405	1152	806	1052	582	796	1532	1258	1326	1283	1346	1222	1276	1395	1217	1116
b2139	b2139_mdtQ_2228758_-1;b2139_mdtQ_2228609_-1	37;37	80;80	-;-	88	41	43	31	53	43	40	37	28	46	28	22	33	28	35	31	45	27	34	1405	20	19
b4679	b4679_yohP_2228982_1	37	80	+	44	3450	4127	4313	3792	4068	3971	3831	2675	4288	2762	2828	3398	3441	3345	3987	3929	3651	3173	788	2425	2217
b2140	b2140_dusC_2230385_-1	37	80	-	44	1949	2309	2295	1853	2194	1784	1945	1290	1636	1085	1459	2035	1878	2222	2259	2374	2075	2151	4194	1453	1540
b2141	b2141_yohJ_2230624_1	37	80	+	44	2166	3378	2788	3002	3051	2823	2831	2046	2503	1460	2304	3600	3605	4687	4262	4111	3596	4318	6718	2325	2179
b2142	b2142_yohK_2231019_1	37	80	+	44	7253	7928	8325	6351	7773	6705	6592	4873	6547	4341	5171	6254	6689	6920	6845	7627	6928	6987	2966	4526	4410
b2143	b2143_cdd_2231844_1	37	80	+	44	958	1409	1016	1399	1247	1110	1295	532	1322	1021	768	1233	854	1053	1229	935	1121	732	1379	977	683
b2144	b2144_sanA_2232878_1	37	80	+	44	1	4	3	1	4	3	2	0	2	2	1	2	0	2	5	5	3	4	382	2	2
b2145	b2145_yeiS_2233600_1	37	80	+	44	2037	2817	2208	2528	2273	2384	2333	1297	2259	1137	1495	2011	2020	2102	2635	2168	2528	2044	460	1716	1612
b2146	b2146_preT_2234033_1	37	80	+	44	642	1040	645	881	665	873	851	338	831	526	516	747	616	786	1008	631	942	556	1903	615	557
b2147	b2147_preA_2235265_1	37	80	+	44	7310	8947	8949	7964	8016	8067	6963	4914	7033	3400	5133	7408	9110	8414	10088	9959	8905	9146	2806	5622	5624
b2148	b2148_mglC_2237753_-1	37	80	-	44	36	56	34	62	58	50	58	29	39	25	27	49	41	65	71	37	55	38	592	50	33
b2149	b2149_mglA_2239289_-1	37	80	-	44	40	61	36	44	44	38	56	28	47	21	31	52	41	74	74	57	74	56	1144	45	34
b2150	b2150_mglB_2240348_-1	37	80	-	44	3992	6399	4871	5722	5490	5657	5185	2801	4763	3884	3586	5682	4792	4601	5573	4328	5393	4283	626	4021	3894
b2151	b2151_galS_2241668_-1	37	80	-	44	128	213	105	220	153	194	198	99	140	110	114	156	112	129	187	130	166	120	368	128	126
b2152	b2152_yeiB_2242967_-1	37	80	-	44	64	69	97	98	78	55	87	52	59	48	52	81	73	71	75	98	84	91	1083	54	51
b2153	b2153_folE_2243652_-1	37	80	-	44	157	225	201	202	227	205	300	167	224	170	170	204	191	232	255	226	210	167	917	225	149
b2154	b2154_yeiG_2243910_1	37	80	+	44	2719	4871	3418	4379	3727	4452	3912	1822	3899	2348	2352	3225	3201	3656	4670	3509	4603	3222	1346	3576	3203
b2155	b2155_cirA_2246769_-1	37	80	-	44	878	1117	1017	982	1098	1086	805	675	1027	802	657	1041	1005	997	1089	1177	939	1043	417	718	629
b2156	b2156_lysP_2248532_-1	37	80	-	44	88	133	88	156	76	127	147	62	129	51	81	112	74	86	135	86	130	65	482	78	88
b2157	b2157_yeiE_2249618_-1	37	80	-	44	66	85	73	82	76	82	91	56	93	63	61	79	87	85	86	103	74	85	2273	65	39
b2158	b2158_yeiH_2249717_1	37	80	+	44	1463	1853	1697	1718	1770	1686	1658	871	1175	788	1089	1732	1951	2538	2577	2168	2380	2152	2102	1349	1258
b2159	b2159_nfo_2250840_1	37	80	+	44	913	1014	1160	954	1090	1025	1045	732	958	742	716	963	1025	935	1067	1146	959	1040	275	792	651
b2160	b2160_yeiI_2251700_1	37	80	+	44	513	812	630	742	615	702	675	287	591	386	437	625	497	690	773	676	821	671	632	538	535
b2161	b2161_nupX_2254145_-1	37	80	-	44	50	76	48	57	64	75	55	40	61	40	49	74	52	70	69	59	65	54	184	49	49
b2162	b2162_rihB_2255186_-1	37	80	-	44	1262	2500	1547	2405	1645	2263	2101	1058	2279	1149	1264	1657	1600	1848	2528	1686	2180	1741	881	1688	1392
b2163	b2163_yeiL_2255355_1	37	80	+	44	57	75	53	57	66	57	54	24	53	34	54	53	39	69	86	56	67	44	1729	61	47
b2164	b2164_psuT_2257335_-1	37	80	-	44	920	1269	1066	1120	1020	999	1067	738	1008	646	770	1229	982	1318	1207	1184	1204	1164	879	922	877
b2165	b2165_psuG_2258367_-1	37	80	-	44	1441	2320	1825	2146	1816	2275	1950	1242	2083	1122	1387	2179	1990	2370	2530	2149	2342	1945	909	1718	1749
b2166	b2166_psuK_2259296_-1	37	80	-	44	2023	3083	3022	2697	2845	2802	2495	1796	2333	1670	1962	3331	2951	3421	3238	3106	3119	3007	131	1989	1953
b2167	b2167_fruA_2261410_-1	37	80	-	44	455	766	506	779	592	798	795	369	638	346	426	640	867	1127	1559	1079	1365	972	816	832	600
b2168	b2168_fruK_2262365_-1	37	80	-	44	614	719	781	603	689	557	537	527	637	346	373	532	1047	1218	1128	1298	1174	1113	448	588	514
b2169	b2169_fruB_2263495_-1	37	80	-	44	1162	1750	1340	1538	1377	1405	1891	887	1585	900	1068	1278	1634	2206	2686	2051	2937	1866	686	1202	1108
b2170	b2170_setB_2263863_1	37	80	+	44	7	9	9	4	10	3	14	2	12	7	8	12	6	11	17	14	13	11	179	10	5
b4502	b4502_yeiW_2265295_-1	37	80	-	44	26	35	60	44	54	46	32	31	42	33	29	45	35	39	38	41	45	48	410	34	21
b2171	b2171_yeiP_2265450_1	37	80	+	44	66	123	104	123	121	127	100	82	100	98	85	108	102	102	118	89	97	97	314	67	68
b2172	b2172_yeiQ_2266245_1	37	80	+	44	201	263	242	259	252	243	264	168	239	183	150	281	213	264	216	262	246	190	385	190	171
b2173	b2173_yeiR_2267829_1	37	80	+	44	125	149	152	150	140	126	126	109	115	100	96	162	135	137	141	197	182	164	692	128	109
b2174	b2174_lpxT_2268854_1	37	80	+	44	1047	1410	921	1179	1005	1243	1319	574	1390	1117	778	962	752	756	1000	720	1006	530	1353	619	527
b2175	b2175_mepS_2269979_1	37	80	+	44	953	1438	1243	1408	1282	1349	1472	767	1363	933	871	999	1104	1247	1444	1193	1475	1124	1780	861	654
b2176	b2176_rtn_2270726_1	37	80	+	44	15	25	23	27	21	26	22	28	28	13	17	21	12	16	21	15	23	20	603	24	12
b2177	b2177_yejA_2272364_1	37	80	+	44	1701	2178	1903	1891	1986	1986	1889	1253	1862	1252	1388	1771	1703	1703	1863	1893	1946	1666	862	1383	1318
b2178	b2178_yejB_2274179_1	37	80	+	44	75	97	97	79	95	70	69	51	72	38	59	71	62	92	110	103	98	101	789	52	52
b2179	b2179_yejE_2275273_1	37	80	+	44	98	227	111	169	163	162	149	61	114	41	100	134	122	202	261	187	212	181	2067	125	129
b2180	b2180_yejF_2276300_1	37	80	+	44	51	91	60	80	87	68	75	25	50	33	49	64	64	83	87	74	89	67	633	69	70
b2181	b2181_yejG_2278237_-1	37	80	-	44	140	221	198	195	175	225	267	181	252	170	197	201	143	198	184	184	165	160	549	169	104
b2182	b2182_bcr_2279760_-1	37	80	-	44	137	178	152	187	154	162	177	107	150	112	97	220	154	188	186	187	181	163	1220	141	138
b2183	b2183_rsuA_2280483_-1	37	80	-	44	122	300	165	325	253	233	260	76	250	151	170	221	126	225	291	168	233	164	1279	168	131
b2184	b2184_yejH_2280632_1	37	80	+	44	100	172	124	139	151	135	165	108	153	95	102	161	111	144	164	148	179	118	1031	121	103
b2185	b2185_rplY_2282517_1	37	80	+	44	755	1538	926	1730	1118	1381	1565	564	1367	885	906	1000	1076	1353	2018	1170	1908	1002	160	984	968
b2186	b2186_yejK_2283947_-1	37	80	-	44	5798	7623	8018	6882	8952	7434	5732	5074	6655	6155	5310	9134	8407	8974	7979	8895	7215	9069	1980	4682	4210
b2187	b2187_yejL_2284129_1	37	80	+	44	51	59	55	73	48	73	73	27	55	42	50	67	54	63	77	57	67	53	685	58	41
b2188	b2188_yejM_2284376_1	37	80	+	44	28	53	47	29	55	31	37	29	34	19	26	34	43	60	61	40	55	50	4504	23	37
b2190	b2190_yejO_2290180_-1;b2190_yejO_2288914_-1	37;37	80;80	-;-	88	1003	2132	1273	2418	1747	2249	2095	1012	2532	1354	1407	2002	1681	2253	2853	1609	2276	1827	2164	2027	1478
b2192	b2192_insH1_2290081_-1	37	80	-	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b2193	b2193_narP_2290500_1	37	80	+	44	190	228	186	199	236	190	305	152	226	113	137	231	185	330	312	241	282	210	2759	207	124
b2194	b2194_ccmH_2292410_-1	37	80	-	44	580	759	715	713	704	625	693	510	738	451	479	660	860	755	850	924	820	738	753	455	382
b2195	b2195_dsbE_2292964_-1	37	80	-	44	152	271	197	274	232	213	259	122	252	128	127	224	188	210	294	211	257	207	1620	263	205
b2196	b2196_ccmF_2294904_-1	37	80	-	44	5	8	1	0	9	3	8	4	10	4	3	3	5	16	6	8	5	3	156	3	6
b2197	b2197_ccmE_2295380_-1	37	80	-	44	147	225	161	178	151	187	191	78	163	106	95	144	191	212	241	169	239	162	974	193	126
b2198	b2198_ccmD_2295586_-1	37	80	-	44	139	191	136	177	157	126	142	69	139	70	89	141	150	186	212	172	205	157	3320	114	99
b2199	b2199_ccmC_2296320_-1	37	80	-	44	140	233	156	220	159	213	231	95	203	132	135	181	158	191	240	140	212	156	349	141	145
b2200	b2200_ccmB_2297024_-1	37	80	-	44	193	312	228	284	233	247	274	123	206	100	200	327	362	416	387	339	419	327	225	281	252
b2201	b2201_ccmA_2297644_-1	37	80	-	44	85	149	120	110	120	114	126	72	118	65	100	138	123	163	153	111	118	139	157	136	119
b2202	b2202_napC_2298259_-1	37	80	-	44	189	307	221	237	232	240	257	145	220	131	203	213	251	365	349	281	340	305	821	210	215
b2203	b2203_napB_2298718_-1	37	80	-	44	907	1091	1204	987	1034	1045	890	707	998	699	740	958	965	911	994	987	1026	856	871	746	696
b2204	b2204_napH_2299578_-1	37	80	-	44	237	255	289	216	254	203	219	154	183	123	159	256	387	301	315	351	287	336	1888	157	141
b2205	b2205_napG_2300260_-1	37	80	-	44	86	85	91	61	109	47	112	153	83	108	117	129	48	64	46	62	48	42	144	96	37
b2206	b2206_napA_2302753_-1	37	80	-	44	57	91	61	92	55	83	97	29	67	31	52	53	76	93	122	58	97	62	49	101	52
b2207	b2207_napD_2303013_-1	37	80	-	44	309	388	456	435	453	429	327	242	441	448	278	451	368	340	390	312	310	326	153	265	224
b2208	b2208_napF_2303497_-1	37	80	-	44	414	607	441	500	463	452	476	249	384	260	292	391	349	458	501	434	503	405	3048	422	390
b2209	b2209_eco_2303905_1	37	80	+	44	974	1505	902	1400	1113	1346	1444	561	1448	752	911	1043	917	1151	1621	921	1428	1028	456	1017	745
b2210	b2210_mqo_2306754_-1	37	80	-	44	878	995	1080	1024	1124	1003	950	759	1093	813	679	1038	979	972	1130	1137	860	1093	927	911	593
b2211	b2211_yojI_2308615_-1	37	80	-	44	73	140	104	174	100	147	179	59	142	71	85	134	87	148	169	97	166	92	125	137	113
b2212	b2212_alkB_2309341_-1	37	80	-	44	3830	4604	4458	4298	4320	4203	3888	2573	4035	2481	2833	4255	4735	4783	5156	4850	4704	4519	974	2827	2577
b2213	b2213_ada_2310405_-1	37	80	-	44	105	145	104	129	111	135	187	83	135	62	107	115	133	162	185	172	190	146	854	121	91
b2214	b2214_apbE_2311534_-1	37	80	-	44	139	179	191	180	182	199	179	145	155	137	106	200	222	243	203	175	185	202	249	130	148
b2215	b2215_ompC_2312749_-1	37	80	-	44	799	1480	743	1374	824	1274	1380	481	1129	429	642	795	823	1108	1650	845	1587	856	1372	994	990
b2216	b2216_rcsD_2313488_1	37	80	+	44	55	78	50	65	57	68	63	34	76	64	49	52	46	59	84	46	51	45	134	59	35
b2217	b2217_rcsB_2316177_1	37	80	+	44	279	379	299	345	305	333	368	160	308	243	242	314	299	305	379	266	335	249	4444	244	179
b2218	b2218_rcsC_2319876_-1	37	80	-	44	24	42	35	43	31	51	40	28	50	25	24	55	47	43	41	36	47	38	891	36	34
b2219	b2219_atoS_2320043_1	37	80	+	44	326	344	352	305	319	357	340	197	290	170	224	271	255	283	339	337	292	277	813	227	194
b2220	b2220_atoC_2321866_1	37	80	+	44	45	66	53	45	38	47	60	36	37	22	27	42	46	57	55	54	60	37	1556	33	32
b2221	b2221_atoD_2323447_1	37	80	+	44	2333	4741	3046	4982	2966	4629	3576	1842	3926	2150	2480	3112	3174	3735	5193	3085	4173	3311	970	2731	3046
b2222	b2222_atoA_2324109_1	37	80	+	44	5577	10283	6856	9975	7618	9708	8452	3903	8890	5653	5990	7780	6881	8238	9882	6790	9336	7013	1706	6769	6443
b2223	b2223_atoE_2324756_1	37	80	+	44	32	41	28	40	36	37	45	21	36	23	17	36	36	47	44	42	60	29	1171	23	30
b2224	b2224_atoB_2326109_1	37	80	+	44	1085	2304	1250	2557	1562	2410	2175	820	2542	1673	1467	1865	1436	1584	2505	1264	2005	1297	234	1632	1373
b2225	b2225_yfaP_2328143_-1	37	80	-	44	850	1527	1013	1494	1224	1429	1258	643	1177	833	844	1344	1002	1289	1429	1039	1373	1062	754	955	979
b2226	b2226_yfaQ_2329797_-1	37	80	-	44	282	496	402	454	372	457	480	330	454	200	304	481	524	679	756	591	559	556	6720	597	470
b4500	b4500_yfaS_2334402_-1	37	80	-	44	2295	2812	2629	2759	2292	2703	2702	1443	2243	1310	1666	2552	2774	3041	3673	2919	3536	2689	3948	2510	2103
b2229	b2229_yfaT_2334959_-1	37	80	-	44	2	11	2	2	8	7	7	3	6	2	2	3	2	5	8	2	1	7	558	6	7
b2230	b2230_yfaA_2336644_-1	37	80	-	44	833	1292	1012	1174	1052	1218	1077	742	1101	580	781	1390	1168	1362	1498	1146	1227	1253	636	1175	1122
b2231	b2231_gyrA_2339420_-1	37	80	-	44	828	1203	893	1101	902	1038	1354	554	1044	642	738	724	1041	1162	1263	976	1325	949	665	984	759
b2232	b2232_ubiG_2339567_1	37	80	+	44	1882	2604	2624	2426	2580	2635	2397	2014	2814	1530	1667	2436	2758	2785	2999	2809	2622	2992	572	2151	1654
b2233	b2233_yfaL_2344169_-1	37	80	-	44	433	888	560	843	759	848	844	463	795	522	610	889	524	771	897	579	754	603	1635	664	593
b2234	b2234_nrdA_2344865_1	37	80	+	44	828	913	687	816	814	764	999	432	875	533	546	627	546	717	1024	672	840	615	1928	604	425
b2235	b2235_nrdB_2347384_1	37	80	+	44	217	268	235	251	287	299	244	156	260	227	188	280	218	244	298	244	241	215	926	182	152
b2236	b2236_yfaE_2348514_1	37	80	+	44	5	3	1	4	5	2	7	2	7	6	3	5	5	7	5	7	9	3	509	3	0
b2237	b2237_inaA_2349472_-1	37	80	-	44	19	30	28	23	24	25	26	22	17	22	19	23	37	36	45	28	26	31	153	20	15
b2238	b2238_yfaH_2349651_1	37	80	+	44	2849	4275	3258	3894	3050	3712	3817	2025	3950	2399	2484	3002	3103	3479	4268	2964	3810	2774	1010	3046	2942
b2239	b2239_glpQ_2351011_-1	37	80	-	44	1906	3216	2650	3039	2609	2449	2452	1387	2583	1283	1469	2221	2469	2676	3479	2824	3143	2060	529	2274	1660
b2240	b2240_glpT_2352374_-1	37	80	-	44	1155	2335	1350	2104	1611	1865	1884	841	1859	1075	1131	1485	1444	1800	2373	1533	2157	1308	2766	1845	1352
b2241	b2241_glpA_2352647_1	37	80	+	44	117	194	112	204	127	159	174	80	132	90	101	148	129	173	193	155	211	147	130	120	133
b2242	b2242_glpB_2354265_1	37	80	+	44	386	468	379	374	436	342	385	280	434	253	235	305	511	419	483	468	465	423	700	357	325
b2243	b2243_glpC_2355521_1	37	80	+	44	875	1008	867	997	939	847	1022	472	917	572	661	924	1013	1167	1456	1007	1198	889	1207	885	494
b2244	b2244_yfaD_2356904_1	37	80	+	44	44	46	50	59	43	46	52	32	45	25	37	50	46	48	54	62	59	41	266	69	38
b4543	b4543_ypaA_2357804_1	37	80	+	44	2315	2771	3010	2474	2816	2537	2440	1884	2422	1773	1897	2622	3168	3027	2980	3155	3023	2961	759	1616	1465
b2245	b2245_rhmA_2358845_-1	37	80	-	44	1327	2210	1172	2167	1625	2188	2003	671	2129	1101	1145	1441	1076	1463	2252	1344	1931	1240	238	1729	1392
b2246	b2246_rhmT_2360152_-1	37	80	-	44	74	133	83	104	87	83	120	38	79	54	84	87	69	117	147	94	118	78	1790	75	63
b2247	b2247_rhmD_2361414_-1	37	80	-	44	295	396	271	441	321	407	365	182	350	239	250	361	266	363	424	300	401	268	241	309	249
b2248	b2248_rhmR_2362211_-1	37	80	-	44	51	57	59	65	79	51	60	34	53	23	43	60	40	83	72	74	75	73	5007	36	38
b2249	b2249_yfaY_2363633_-1	37	80	-	44	3190	7129	4126	7689	4826	7258	5929	2763	6094	3000	3678	5382	4277	5970	8697	5142	8152	4880	1391	5785	5880
b2250	b2250_yfaZ_2364275_-1	37	80	-	44	153	200	211	185	193	227	171	140	214	120	119	195	176	189	230	232	208	189	100	177	140
b2251	b2251_nudI_2364554_1	37	80	+	44	71	133	93	104	87	101	115	58	101	60	53	94	76	86	126	105	110	76	106	88	66
b2252	b2252_ais_2365620_-1	37	80	-	44	417	545	585	483	565	507	456	401	468	345	386	579	435	529	480	531	427	532	274	342	321
b2253	b2253_arnB_2365928_1	37	80	+	44	1550	2897	1938	2695	1953	2548	2596	1280	2581	1302	1591	2012	1981	2296	2824	2066	2736	2060	999	2039	2071
b2254	b2254_arnC_2367071_1	37	80	+	44	72	103	79	86	88	105	115	55	102	63	65	90	93	97	126	85	76	91	349	81	68
b2255	b2255_arnA_2368039_1	37	80	+	44	90	127	135	154	115	133	137	91	152	85	93	98	128	106	149	114	123	124	624	106	88
